product_id,product_name,supplier_id,supplier_name,region,purchase_date,units_purchased,unit_cost,total_cost,delivery_time_days,qc_pass_rate,customer_rating_avg,damaged_on_arrival,complaint_count,units_returned,return_rate,supplier_score,supplier_rank
P1,Dawat Rice,S1,Martin-Mcdowell,Mumbai,2025-01-11,971,16.55,16070.05,6,0.97,4.41,0.0,2,62,0.064,94.1951411922904,1.0
P1,Dawat Rice,S2,Nelson-Ramirez,Mumbai,2025-03-14,689,38.8,26733.2,7,0.98,3.78,0.0,6,25,0.036,88.4085880770955,2.0
P1,Dawat Rice,S3,"Bell, Gardner and Brown",Kolkata,2025-04-29,814,37.38,30427.32,7,0.93,3.86,0.01,5,35,0.043,87.4068310174809,3.0
P1,Dawat Rice,S3,"Bell, Gardner and Brown",Mumbai,2024-12-30,990,23.38,23146.2,3,0.91,3.17,0.05,9,84,0.085,86.3144374719857,4.0
P1,Dawat Rice,S4,Thornton Ltd,Kolkata,2025-06-02,406,64.58,26219.48,2,0.85,3.2,0.03,2,16,0.039,77.2509099058718,5.0
P1,Dawat Rice,S5,Bass Group,Hyderabad,2024-10-02,432,81.03,35004.96,1,0.92,3.17,0.03,4,22,0.051,74.8642223218288,6.0
P10,Tata Tea,S6,"Murphy, Aguilar and Zimmerman",Hyderabad,2024-11-24,477,11.02,5256.54,8,0.92,3.11,0.01,8,33,0.069,90.0344957418198,1.0
P10,Tata Tea,S7,Flores-Cook,Ahmedabad,2025-01-28,514,36.38,18699.32,1,0.98,3.03,0.0,5,10,0.019,87.2109457642313,2.0
P10,Tata Tea,S8,Thompson Group,Bengaluru,2025-04-20,813,43.1,35040.3,9,0.94,4.27,0.03,10,62,0.076,86.414894666069,3.0
P10,Tata Tea,S9,Bond-Adkins,Ahmedabad,2024-12-11,378,54.25,20506.5,6,0.92,3.35,0.02,5,34,0.09,80.3360152398028,4.0
P10,Tata Tea,S10,"Terry, Smith and Weber",Kolkata,2025-04-08,206,76.38,15734.28,10,0.92,3.45,0.02,8,6,0.029,77.5063558942179,5.0
P10,Tata Tea,S5,Bass Group,Kolkata,2024-07-07,949,83.54,79279.46,7,0.89,3.34,0.03,4,1,0.001,75.5616943074854,6.0
P11,Oreo Biscuit,S8,Thompson Group,Delhi NCR,2024-07-02,420,21.22,8912.4,5,0.99,4.74,0.03,5,9,0.021,95.6285253249664,1.0
P11,Oreo Biscuit,S8,Thompson Group,Mumbai,2024-08-10,921,11.39,10490.19,4,0.99,3.86,0.05,4,20,0.022,94.9615732855222,2.0
P11,Oreo Biscuit,S6,"Murphy, Aguilar and Zimmerman",Ahmedabad,2024-07-22,710,13.29,9435.9,2,0.92,4.13,0.0,0,19,0.027,93.9457552666966,3.0
P11,Oreo Biscuit,S4,Thornton Ltd,Hyderabad,2025-05-28,373,20.86,7780.78,1,0.92,3.41,0.02,4,19,0.051,89.1692066337965,4.0
P11,Oreo Biscuit,S1,Martin-Mcdowell,Hyderabad,2025-04-06,822,26.61,21873.42,7,0.88,3.74,0.02,6,19,0.023,88.7105468399821,5.0
P11,Oreo Biscuit,S6,"Murphy, Aguilar and Zimmerman",Kolkata,2025-05-06,153,35.98,5504.94,6,0.9,4.44,0.01,1,10,0.065,88.0505916629314,6.0
P11,Oreo Biscuit,S8,Thompson Group,Bengaluru,2025-01-24,720,42.35,30492.0,9,0.89,4.62,0.04,1,49,0.068,86.5229807261318,7.0
P11,Oreo Biscuit,S3,"Bell, Gardner and Brown",Delhi NCR,2025-03-10,786,40.08,31502.88,9,0.97,3.21,0.0,1,54,0.069,85.1717212012551,8.0
P11,Oreo Biscuit,S8,Thompson Group,Ahmedabad,2024-12-12,813,62.05,50446.65,5,0.86,3.93,0.03,8,16,0.02,80.8279202151502,9.0
P11,Oreo Biscuit,S9,Bond-Adkins,Chennai,2024-07-19,803,68.68,55150.04,5,0.88,4.42,0.01,8,62,0.077,79.8020394441954,10.0
P12,Garnier Facewash,S7,Flores-Cook,Hyderabad,2025-03-24,506,18.95,9588.7,1,0.89,4.44,0.04,6,1,0.002,93.2072658000896,1.0
P12,Garnier Facewash,S2,Nelson-Ramirez,Chennai,2025-03-04,448,17.64,7902.72,5,1.0,3.75,0.02,9,44,0.098,91.5008561183326,2.0
P12,Garnier Facewash,S10,"Terry, Smith and Weber",Bengaluru,2025-01-31,314,20.98,6587.72,5,0.92,3.07,0.05,10,4,0.013,88.9623128641865,3.0
P12,Garnier Facewash,S4,Thornton Ltd,Hyderabad,2024-10-31,529,45.32,23974.28,10,0.97,3.88,0.02,2,26,0.049,86.4073599282833,4.0
P12,Garnier Facewash,S6,"Murphy, Aguilar and Zimmerman",Chennai,2024-10-12,370,51.05,18888.5,1,0.97,3.4,0.03,7,34,0.092,82.2931824294039,5.0
P12,Garnier Facewash,S5,Bass Group,Hyderabad,2024-11-23,471,75.54,35579.34,5,0.92,4.38,0.02,2,13,0.028,80.5146122814881,6.0
P12,Garnier Facewash,S10,"Terry, Smith and Weber",Hyderabad,2024-11-21,665,66.51,44229.15,9,0.86,4.75,0.05,6,58,0.087,80.0783684446437,7.0
P12,Garnier Facewash,S4,Thornton Ltd,Chennai,2024-10-06,707,72.46,51229.22,2,0.93,3.5,0.02,7,64,0.091,76.9248857014792,8.0
P12,Garnier Facewash,S9,Bond-Adkins,Chennai,2025-04-04,751,79.25,59516.75,4,0.88,3.65,0.02,9,32,0.043,76.0431465710444,9.0
P12,Garnier Facewash,S2,Nelson-Ramirez,Bengaluru,2025-05-18,940,86.6,81404.0,4,0.9,3.34,0.03,3,3,0.003,75.0659031824294,10.0
P13,Surf Excel Detergent,S1,Martin-Mcdowell,Chennai,2025-02-18,106,12.39,1313.34,6,0.94,4.88,0.03,4,6,0.057,95.6974585387718,1.0
P13,Surf Excel Detergent,S8,Thompson Group,Mumbai,2024-08-04,564,28.89,16293.96,6,0.98,3.41,0.01,2,23,0.041,89.2695652173913,2.0
P13,Surf Excel Detergent,S10,"Terry, Smith and Weber",Delhi NCR,2024-07-10,324,35.28,11430.72,3,0.93,3.28,0.04,8,31,0.096,84.2474719856567,3.0
P13,Surf Excel Detergent,S7,Flores-Cook,Ahmedabad,2025-03-10,683,72.18,49298.94,4,0.91,4.87,0.01,9,5,0.007,83.2176378305693,4.0
P13,Surf Excel Detergent,S1,Martin-Mcdowell,Bengaluru,2024-12-16,509,46.81,23826.29,4,0.88,3.31,0.01,2,41,0.081,81.2534289556253,5.0
P13,Surf Excel Detergent,S4,Thornton Ltd,Ahmedabad,2024-12-29,439,65.35,28688.65,1,1.0,3.28,0.03,1,16,0.036,81.158341550874,6.0
P13,Surf Excel Detergent,S7,Flores-Cook,Delhi NCR,2025-03-31,665,63.32,42107.8,5,0.86,4.22,0.01,10,46,0.069,80.1432944867772,7.0
P13,Surf Excel Detergent,S10,"Terry, Smith and Weber",Delhi NCR,2024-08-29,385,94.25,36286.25,2,0.95,4.14,0.0,4,22,0.057,75.6814253697893,8.0
P13,Surf Excel Detergent,S2,Nelson-Ramirez,Ahmedabad,2024-11-28,612,86.47,52919.64,9,0.89,3.9,0.01,7,28,0.046,75.4350380995069,9.0
P13,Surf Excel Detergent,S5,Bass Group,Chennai,2024-09-12,979,96.73,94698.67,8,0.98,3.59,0.02,3,25,0.026,74.9556207978485,10.0
P14,Britania marrie biscuit,S4,Thornton Ltd,Bengaluru,2024-10-27,438,20.58,9014.04,6,0.95,4.49,0.03,7,17,0.039,93.4819587628866,1.0
P14,Britania marrie biscuit,S4,Thornton Ltd,Chennai,2024-10-11,109,33.87,3691.83,2,0.89,4.95,0.02,1,2,0.018,91.1134737785746,2.0
P14,Britania marrie biscuit,S3,"Bell, Gardner and Brown",Mumbai,2025-01-27,385,35.64,13721.4,8,0.86,4.22,0.03,3,4,0.01,87.9167906768265,3.0
P14,Britania marrie biscuit,S7,Flores-Cook,Mumbai,2024-08-31,243,28.15,6840.45,1,0.87,3.33,0.04,0,9,0.037,86.2654101299866,4.0
P14,Britania marrie biscuit,S8,Thompson Group,Chennai,2024-08-02,438,43.72,19149.36,9,0.94,4.01,0.04,7,26,0.059,85.9059435230838,5.0
P14,Britania marrie biscuit,S8,Thompson Group,Delhi NCR,2024-07-18,793,35.79,28381.47,3,0.94,3.06,0.0,9,72,0.091,84.273173464814,6.0
P14,Britania marrie biscuit,S10,"Terry, Smith and Weber",Hyderabad,2025-03-16,994,58.37,58019.78,7,0.99,3.69,0.02,0,36,0.036,83.8026624831914,7.0
P14,Britania marrie biscuit,S3,"Bell, Gardner and Brown",Chennai,2025-05-18,350,62.82,21987.0,9,0.96,3.86,0.01,6,11,0.031,82.8153518601524,8.0
P14,Britania marrie biscuit,S2,Nelson-Ramirez,Ahmedabad,2025-05-03,682,71.63,48851.66,10,0.87,4.82,0.04,0,12,0.018,81.5609009412819,9.0
P14,Britania marrie biscuit,S6,"Murphy, Aguilar and Zimmerman",Bengaluru,2024-08-17,721,79.3,57175.3,6,0.88,4.25,0.0,7,56,0.078,76.9819408337069,10.0
P15,Dove shampoo,S7,Flores-Cook,Delhi NCR,2025-06-22,638,13.3,8485.4,8,0.89,4.43,0.04,0,18,0.028,93.663514119229,1.0
P15,Dove shampoo,S10,"Terry, Smith and Weber",Ahmedabad,2024-08-23,445,20.63,9180.35,7,0.95,4.26,0.04,4,26,0.058,92.1107530255491,2.0
P15,Dove shampoo,S1,Martin-Mcdowell,Ahmedabad,2024-07-03,138,11.66,1609.08,1,0.99,3.24,0.03,5,13,0.094,91.0810623038996,3.0
P15,Dove shampoo,S7,Flores-Cook,Chennai,2025-03-09,244,32.92,8032.48,4,0.95,4.52,0.03,10,23,0.094,89.1563827879875,4.0
P15,Dove shampoo,S8,Thompson Group,Hyderabad,2025-04-26,155,45.69,7081.95,4,0.94,4.72,0.05,8,11,0.071,87.1344374719857,5.0
P15,Dove shampoo,S10,"Terry, Smith and Weber",Ahmedabad,2025-05-31,190,28.71,5454.9,7,0.85,3.36,0.03,1,7,0.037,85.8299058718064,6.0
P15,Dove shampoo,S5,Bass Group,Delhi NCR,2025-01-22,195,48.18,9395.1,5,0.99,3.22,0.02,3,12,0.062,83.8963917525773,7.0
P15,Dove shampoo,S5,Bass Group,Chennai,2024-09-15,789,56.69,44728.41,2,0.96,3.73,0.05,0,51,0.065,82.379175257732,8.0
P15,Dove shampoo,S7,Flores-Cook,Mumbai,2024-06-27,803,63.47,50966.41,4,0.91,4.94,0.04,4,80,0.1,82.2896772747647,9.0
P15,Dove shampoo,S4,Thornton Ltd,Ahmedabad,2024-11-05,562,93.67,52642.54,2,0.97,4.27,0.04,3,14,0.025,77.2614119229045,10.0
P16,Taj Tea,S1,Martin-Mcdowell,Bengaluru,2024-07-25,878,23.24,20404.72,1,0.99,3.98,0.01,3,34,0.039,92.5558135365307,1.0
P16,Taj Tea,S9,Bond-Adkins,Mumbai,2025-05-25,331,32.18,10651.58,3,0.97,4.6,0.03,2,4,0.012,92.5222277005827,2.0
P16,Taj Tea,S2,Nelson-Ramirez,Kolkata,2025-02-06,621,26.37,16375.77,5,0.9,4.79,0.02,6,53,0.085,90.5543343792022,3.0
P16,Taj Tea,S10,"Terry, Smith and Weber",Kolkata,2024-12-23,518,22.06,11427.08,6,0.85,4.51,0.03,5,42,0.081,89.4502689376961,4.0
P16,Taj Tea,S2,Nelson-Ramirez,Chennai,2025-05-11,133,43.88,5836.04,4,0.97,4.97,0.01,4,11,0.083,89.0800851636038,5.0
P16,Taj Tea,S9,Bond-Adkins,Kolkata,2025-05-29,967,22.68,21931.56,2,0.88,4.0,0.02,5,71,0.073,88.8713177947109,6.0
P16,Taj Tea,S4,Thornton Ltd,Mumbai,2025-04-23,876,43.86,38421.36,4,0.86,4.55,0.03,7,82,0.094,84.5445674585388,7.0
P16,Taj Tea,S6,"Murphy, Aguilar and Zimmerman",Kolkata,2024-10-13,552,46.07,25430.64,7,0.93,3.31,0.01,4,13,0.024,84.3792738682205,8.0
P16,Taj Tea,S6,"Murphy, Aguilar and Zimmerman",Mumbai,2025-01-26,517,51.64,26697.88,5,0.9,4.5,0.03,0,44,0.085,83.9209547288212,9.0
P16,Taj Tea,S1,Martin-Mcdowell,Bengaluru,2025-03-24,175,55.53,9717.75,2,0.94,3.04,0.04,5,4,0.023,81.4291483639624,10.0
P17,Lux Soap,S2,Nelson-Ramirez,Bengaluru,2024-11-11,730,15.18,11081.4,9,0.93,3.88,0.04,7,59,0.081,91.0021783953384,1.0
P17,Lux Soap,S9,Bond-Adkins,Mumbai,2025-04-30,385,30.51,11746.35,8,0.91,4.64,0.04,3,34,0.088,89.1364993276558,2.0
P17,Lux Soap,S4,Thornton Ltd,Kolkata,2025-03-15,709,47.76,33861.84,6,0.89,3.71,0.04,7,64,0.09,81.9205199462125,3.0
P17,Lux Soap,S4,Thornton Ltd,Delhi NCR,2025-05-25,298,66.17,19718.66,6,0.91,4.1,0.02,5,23,0.077,80.0545674585388,4.0
P17,Lux Soap,S6,"Murphy, Aguilar and Zimmerman",Mumbai,2024-11-19,443,75.35,33380.05,2,1.0,4.03,0.02,3,43,0.097,79.4371940833707,5.0
P17,Lux Soap,S6,"Murphy, Aguilar and Zimmerman",Ahmedabad,2024-11-03,303,89.85,27224.55,3,0.92,3.24,0.04,5,24,0.079,72.1575302554908,6.0
P18,Cadbury Dairy Milk,S7,Flores-Cook,Ahmedabad,2024-07-05,151,14.63,2209.13,9,0.89,4.82,0.01,0,2,0.013,95.2854415060511,1.0
P18,Cadbury Dairy Milk,S3,"Bell, Gardner and Brown",Chennai,2025-05-08,380,16.64,6323.2,1,0.93,4.94,0.03,0,35,0.092,93.6249708650829,2.0
P18,Cadbury Dairy Milk,S5,Bass Group,Kolkata,2025-02-12,732,11.81,8644.92,2,0.9,3.42,0.02,3,36,0.049,90.787445091887,3.0
P18,Cadbury Dairy Milk,S1,Martin-Mcdowell,Kolkata,2025-02-19,262,11.3,2960.6,8,0.87,3.09,0.0,7,8,0.031,89.9017436127297,4.0
P18,Cadbury Dairy Milk,S9,Bond-Adkins,Chennai,2024-12-31,700,23.65,16555.0,4,0.9,3.5,0.04,3,42,0.06,87.8439264903631,5.0
P18,Cadbury Dairy Milk,S5,Bass Group,Hyderabad,2024-11-23,565,41.55,23475.75,2,0.94,3.78,0.02,5,16,0.028,86.8322725235321,6.0
P18,Cadbury Dairy Milk,S4,Thornton Ltd,Hyderabad,2025-05-13,919,44.94,41299.86,10,0.95,3.92,0.03,3,62,0.067,85.4725235320484,7.0
P18,Cadbury Dairy Milk,S9,Bond-Adkins,Delhi NCR,2025-02-22,830,30.59,25389.7,5,0.86,3.58,0.01,6,83,0.1,84.6285701479157,8.0
P18,Cadbury Dairy Milk,S10,"Terry, Smith and Weber",Hyderabad,2025-03-12,192,52.44,10068.48,7,0.91,3.7,0.05,0,8,0.042,82.6816629314209,9.0
P18,Cadbury Dairy Milk,S5,Bass Group,Chennai,2025-05-10,629,83.15,52301.35,4,0.99,4.97,0.04,1,15,0.024,82.2490990587181,10.0
P19,Lays potato chips,S6,"Murphy, Aguilar and Zimmerman",Kolkata,2025-06-16,584,10.63,6207.92,4,0.93,3.83,0.01,7,51,0.087,91.9919004930524,1.0
P19,Lays potato chips,S7,Flores-Cook,Bengaluru,2024-07-25,187,12.83,2399.21,8,0.95,3.63,0.03,1,17,0.091,91.0788480502017,2.0
